sphone_signal,hour,day_of_week,is_weekend,time_diff,door_roll_mean,phone_roll_mean,door_dom_freq,door_entropy,label
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
1.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.4,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,5.339595611065991e-07,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.4,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.4,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
1.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.4,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.4,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.4,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.2,0.0,3
1.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.4,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
0.0,0.45000000000000007,1.0,1.0,0.0,0.2,0.2,0.2,0.4689955935892812,3
